,Description,Sentiment,IsRelevant,ID,tfVector
1,advice talk neighbours family exchange phone numbers create contact list phone numbers neighbours schools employer chemist gp set online shopping accounts poss adequate supplies regular meds order,Positive,1.0,2.0,"[{u'hours': 1, u'dedicated': 1, u'australia': 1, u'shopping': 1, u'give': 1, u'amid': 1, u'elderly': 1, u'disabled': 1, u'coronavirus': 1, u'covid': 1, u'outbreak': 1, u'woolworths': 1}]"
2,coronavirus australia woolworths give elderly disabled dedicated shopping hours amid covid outbreak,Positive,1.0,3.0,"[{u'confinementgeneral': 1, u'everyone': 1, u'confinementotal': 1, u'calm': 1, u'food': 2, u'safe': 1, u'please': 1, u'covid': 3, u'one': 1, u'france': 1, u'enough': 1, u'confinement': 1, u'coronavirus': 1, u'take': 1, u'need': 1, u'stay': 2, u'panic': 1, u'empty': 1, u'stock': 1}]"
3,food stock one empty please panic enough food everyone take need stay calm stay safe covid france covid covid coronavirus confinement confinementotal confinementgeneral,Positive,1.0,4.0,"[{u'confinement': 1, u'litteraly': 1, u'coronavirusfrance': 1, u'thing': 1, u'paranoid': 1, u'causes': 1, u'food': 1, u'please': 1, u'covid': 1, u'restezchezvous': 1, u'go': 1, u'stayathome': 1, u'coronavirus': 1, u'supermarket': 1, u'serious': 1, u'ready': 1, u'outbreak': 1, u'shortage': 1, u'panic': 1, u'empty': 1, u'stock': 1}]"
4,ready go supermarket covid outbreak paranoid food stock litteraly empty coronavirus serious thing please panic causes shortage coronavirusfrance restezchezvous stayathome confinement,Negative,0.0,5.0,"[{u'toilet': 1, u'stores': 1, u'people': 1, u'sullivan': 1, u'flocked': 1, u'sanitizer': 1, u'county': 1, u'paper': 1, u'reports': 1, u'confirmed': 1, u'area': 1, u'dodson': 1, u'supplies': 1, u'week': 1, u'food': 1, u'hand': 1, u'cleaning': 1, u'news': 1, u'case': 1, u'purchase': 1, u'goods': 1, u'last': 1, u'region': 1, u'covid': 1, u'came': 1, u'first': 1}]"
5,news region first confirmed covid case came sullivan county last week people flocked area stores purchase cleaning supplies hand sanitizer food toilet paper goods dodson reports,Positive,1.0,6.0,"[{u'grocery': 1, u'sharing': 1, u'prove': 1, u'credibility': 1, u'cashier': 1, u'covid': 1, u'class': 1, u'talking': 1, u'civics': 1, u'know': 1, u'commented': 1, u'store': 1, u'insights': 1}]"
6,cashier grocery store sharing insights covid prove credibility commented civics class know talking,Positive,1.0,7.0,"[{u'toilet': 1, u'buy': 1, u'covid': 1, u'toiletpapercrisis': 1, u'supermarket': 1, u'paper': 1, u'rebel': 1, u'today': 1}]"
7,supermarket today buy toilet paper rebel toiletpapercrisis covid,Neutral,0.0,8.0,"[{u'process': 1, u'walk': 1, u'open': 1, u'orders': 1, u'business': 1, u'due': 1, u'next': 1, u'classes': 1, u'online': 1, u'weeks': 1, u'store': 1, u'march': 1, u'monday': 1, u'normal': 1, u'understanding': 1, u'phone': 1, u'two': 1, u'atlanta': 1, u'beginning': 1, u'thank': 1, u'classroom': 1, u'covid': 1, u'continue': 1, u'retail': 1}]"
8,due covid retail store classroom atlanta open walk business classes next two weeks beginning monday march continue process online phone orders normal thank understanding,Positive,1.0,9.0,"[{u'use': 1, u'buy': 1, u'shopping': 1, u'methods': 1, u'indiafightscorona': 1, u'things': 1, u'notes': 1, u'time': 1, u'stop': 1, u'cash': 1, u'corona': 2, u'fight': 1, u'also': 1, u'spread': 1, u'covid': 1, u'prefer': 1, u'online': 2, u'govindia': 1, u'home': 1, u'payment': 1, u'prevention': 1}]"
9,corona prevention stop buy things cash use online payment methods corona spread notes also prefer online shopping home time fight covid govindia indiafightscorona,Negative,0.0,10.0,"[{u'hours': 1, u'entrance': 1, u'everyone': 1, u'crowding': 1, u'means': 1, u'dependent': 1, u'lockdown': 1, u'philippines': 1, u'however': 1, u'supermarket': 1, u'month': 1, u'supermarkets': 1, u'single': 1, u'malls': 1, u'covid': 1, u'manila': 1, u'using': 1, u'closing': 1, u'reducing': 1, u'restaurants': 1}]"
10,month crowding supermarkets restaurants however reducing hours closing malls means everyone using entrance dependent single supermarket manila lockdown covid philippines,Neutral,0.0,11.0,"[{u'particularly': 1, u'increased': 1, u'beef': 1, u'packs': 1, u'food': 1, u'time': 2, u'share': 1, u'due': 1, u'covid': 1, u'may': 1, u'products': 1, u'online': 1, u'patience': 1, u'demand': 1, u'thank': 1, u'situation': 1, u'longer': 1, u'orders': 1, u'freezer': 1, u'wait': 1}]"
11,due covid situation increased demand food products wait time may longer online orders particularly beef share freezer packs thank patience time,Positive,1.0,12.0,"[{u'caring': 1, u'shopping': 2, u'look': 1, u'less': 1, u'healthy': 1, u'isolation': 1, u'self': 1, u'capable': 1, u'exposed': 1, u'somebody': 1, u'community': 1, u'stay': 1, u'symptoms': 1, u'let': 1, u'online': 1, u'doors': 1, u'village': 1, u'horningsea': 1, u'ensure': 1, u'bringing': 1, u'help': 1}]"
12,horningsea caring community let look less capable village ensure stay healthy bringing shopping doors help online shopping self isolation symptoms exposed somebody,Positive,1.0,13.0,"[{u'food': 1, u'deliver': 1, u'whatever': 1, u'amazon': 2, u'coronavirus': 1, u'need': 2, u'stock': 1}]"
13,need stock food amazon deliver whatever need coronavirus amazon,Positive,1.0,14.0,"[{u'resource': 1, u'center': 1, u'releases': 1, u'travel': 3, u'help': 1, u'covid': 1, u'stay': 1, u'date': 1, u'trends': 1, u'adara': 1, u'behavior': 1, u'brands': 2, u'consumer': 1, u'insights': 1}]"
14,adara releases covid resource center travel brands insights help travel brands stay date consumer travel behavior trends,Positive,1.0,15.0,"[{u'grocery': 1, u'right': 1, u'eating': 1, u'whether': 1, u'avoiding': 1, u'safe': 1, u'lines': 1, u'covid': 1, u'unpredictable': 1, u'coronavirus': 1, u'alternative': 1, u'find': 1, u'store': 1, u'restaurants': 1}]"
15,lines grocery store unpredictable eating safe alternative find whether avoiding restaurants right coronavirus covid,Positive,1.0,16.0,[{}]
16,,Neutral,0.0,17.0,"[{u'case': 1, u'observed': 1, u'mar': 1, u'iran': 1, u'arctic': 1, u'covid': 1, u'surveillance': 1, u'high': 1, u'reported': 1, u'watchdog': 1, u'traveled': 1, u'consumer': 1, u'russia': 1, u'man': 1}]"
17,mar russia consumer surveillance watchdog reported case high arctic man traveled iran covid observed,Neutral,0.0,18.0,"[{u'people': 1, u'deliveries': 1, u'glitch': 1, u'foods': 1, u'groceries': 1, u'seen': 1, u'impact': 1, u'said': 1, u'increase': 1, u'spread': 1, u'systems': 1, u'statement': 1, u'online': 1, u'resulted': 1, u'today': 1, u'shopping': 1, u'affecting': 1, u'amazon': 1, u'significant': 1, u'stymies': 1, u'grocery': 1, u'covid': 1, u'spokeswoman': 1, u'fresh': 1, u'whole': 1}]"
18,amazon glitch stymies whole foods fresh grocery deliveries covid spread seen significant increase people shopping online groceries spokeswoman said statement today resulted systems impact affecting,Positive,1.0,19.0,"[{u'life': 1, u'jobs': 1, u'consider': 1, u'impacts': 1, u'people': 1, u'food': 1, u'please': 1, u'covid': 1, u'increase': 1, u'services': 1, u'way': 1, u'demand': 1, u'donating': 1, u'struggling': 1, u'nonprofit': 1, u'bank': 1}]"
19,struggling please consider donating food bank nonprofit demand services increase covid impacts jobs people way life,Positive,1.0,20.0,"[{u'guilde': 1, u'fair': 1, u'lines': 1, u'global': 1, u'life': 1, u'inficted': 1, u'irosponcible': 1, u'scale': 1, u'chinese': 1, u'new': 1, u'adopts': 1, u'play': 1, u'food': 1, u'china': 2, u'demand': 1, u'world': 1, u'must': 2, u'safty': 1, u'goverments': 1, u'guilty': 1, u'covid': 1, u'nations': 1, u'goverment': 1}]"
20,nations inficted covid world must play fair china goverments must demand china adopts new guilde lines food safty chinese goverment guilty irosponcible life global scale,Negative,0.0,21.0,"[{u'purchase': 1, u'shopping': 1, u'decisions': 1, u'study': 1, u'insight': 1, u'pandemic': 1, u'covid': 1, u'sales': 1, u'impacting': 1, u'coronavirus': 1, u'behavior': 1, u'according': 1, u'retail': 1, u'consumer': 1, u'first': 1}]"
21,covid coronavirus pandemic impacting consumer shopping behavior purchase decisions retail sales according first insight study,Neutral,0.0,22.0,"[{u'yearly': 1, u'help': 1, u'cinema': 1, u'cheap': 2, u'iptv': 4, u'us': 1, u'hotmovies': 1, u'service': 1, u'movies': 1, u'monthly': 1, u'trials': 1, u'amazing': 1, u'going': 1, u'iptvnew': 1, u'iptvdeals': 1, u'dm': 1, u'subscriptions': 1, u'football': 1, u'bestiptv': 1, u'adult': 2, u'prices': 1, u'hd': 1, u'covid': 1, u'deals': 1, u'resonable': 1}]"
22,amazing cheap deals covid going help trials monthly yearly resonable prices subscriptions dm us bestiptv iptv service iptv iptvdeals cheap iptv football hd movies adult cinema hotmovies iptvnew iptv adult,Positive,1.0,23.0,"[{u'yearly': 1, u'help': 1, u'cinema': 1, u'cheap': 2, u'iptv': 4, u'us': 1, u'hotmovies': 1, u'iptvlinks': 1, u'service': 1, u'movies': 2, u'monthly': 1, u'trials': 1, u'amazing': 1, u'going': 1, u'iptvdeals': 1, u'dm': 1, u'subscriptions': 1, u'football': 1, u'bestiptv': 1, u'adult': 1, u'prices': 1, u'hd': 1, u'covid': 1, u'deals': 1, u'resonable': 1}]"
23,amazing cheap deals covid going help trials monthly yearly resonable prices subscriptions dm us bestiptv iptv service iptv iptvdeals cheap iptv football hd movies adult cinema hotmovies iptv iptvlinks movies,Positive,1.0,24.0,"[{u'selfish': 1, u'stocked': 1, u'profiteer': 1, u'police': 1, u'food': 1, u'checkout': 1, u'actions': 1, u'supermarkets': 1, u'actively': 1, u'ensure': 1, u'done': 1, u'discouraged': 1, u'cannot': 1, u'products': 1, u'staff': 1, u'panic': 1, u'essential': 1, u'buying': 1, u'left': 1}]"
24,done ensure food essential products stocked supermarkets panic buying actively discouraged cannot left checkout staff police actions selfish profiteer,Negative,0.0,25.0,"[{u'impact': 1, u'confidence': 1, u'full': 1, u'last': 1, u'majority': 1, u'months': 1, u'results': 1, u'covid': 1, u'next': 1, u'increase': 1, u'indicates': 1, u'see': 1, u'tracker': 2, u'coronavirus': 1, u'expect': 2, u'uk': 1, u'march': 1, u'poll': 1, u'consumer': 2}]"
